Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,3,British Transport Police,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,3,British Transport Police,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,3,British Transport Police,Attempted Burglary Residential,Theft offences,Domestic burglary,28F,-00 
2017/18,3,British Transport Police,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,3,British Transport Police,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,3,British Transport Police,Attempted murder,Violence against the person,Violence with injury,2, 40 
2017/18,3,British Transport Police,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,3,British Transport Police,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,3,British Transport Police,Blackmail,Theft offences,Other theft offences,35,-00 
2017/18,3,British Transport Police,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 142 
2017/18,3,British Transport Police,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,3,British Transport Police,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,3,British Transport Police,Burglary Residential,Theft offences,Domestic burglary,28E, 1 
2017/18,3,British Transport Police,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,3,British Transport Police,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,3,British Transport Police,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,3,British Transport Police,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,3,British Transport Police,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4,-00 
2017/18,3,British Transport Police,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,3,British Transport Police,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A,-00 
2017/18,3,British Transport Police,Child abduction,Violence against the person,Violence without injury,13, 2 
2017/18,3,British Transport Police,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,3,British Transport Police,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,3,British Transport Police,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B,-00 
2017/18,3,British Transport Police,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A,-00 
2017/18,3,British Transport Police,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 167 
2017/18,3,British Transport Police,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 12 
2017/18,3,British Transport Police,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 85 
2017/18,3,British Transport Police,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,-00 
2017/18,3,British Transport Police,Dishonest use of electricity,Theft offences,Other theft offences,43,-00 
2017/18,3,British Transport Police,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,3,British Transport Police,Distraction Burglary Residential,Theft offences,Domestic burglary,28G,-00 
2017/18,3,British Transport Police,Endangering life,Violence against the person,Violence with injury,5E, 54 
2017/18,3,British Transport Police,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 2 
2017/18,3,British Transport Police,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 76 
2017/18,3,British Transport Police,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,-00 
2017/18,3,British Transport Police,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,-00 
2017/18,3,British Transport Police,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 34 
2017/18,3,British Transport Police,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 17 
2017/18,3,British Transport Police,Harassment,Violence against the person,Stalking and harassment,8L, 34 
2017/18,3,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,British Transport Police,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,3,British Transport Police,Incest or familial sexual offences,Sexual offences,Other sexual offences,23,-00 
2017/18,3,British Transport Police,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,3,British Transport Police,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 24 
2017/18,3,British Transport Police,Kidnapping,Violence against the person,Violence without injury,36, 2 
2017/18,3,British Transport Police,Making off without payment,Theft offences,Other theft offences,49A, 9 
2017/18,3,British Transport Police,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 41 
2017/18,3,British Transport Police,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1 
2017/18,3,British Transport Police,Modern slavery,Violence against the person,Violence without injury,106, 2 
2017/18,3,British Transport Police,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 5 
2017/18,3,British Transport Police,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69,-00 
2017/18,3,British Transport Police,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 1426 
2017/18,3,British Transport Police,Other drug offences,Drug offences,Possession of drugs,92C,-00 
2017/18,3,British Transport Police,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,-00 
2017/18,3,British Transport Police,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 23 
2017/18,3,British Transport Police,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,3,British Transport Police,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,-00 
2017/18,3,British Transport Police,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 11 
2017/18,3,British Transport Police,Other offences against the State or public order,Public order offences,Public order offences,66, 212 
2017/18,3,British Transport Police,Other theft,Theft offences,Other theft offences,49, 2434 
2017/18,3,British Transport Police,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,3,British Transport Police,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 8 
2017/18,3,British Transport Police,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 69 
2017/18,3,British Transport Police,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 283 
2017/18,3,British Transport Police,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 114 
2017/18,3,British Transport Police,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 2 
2017/18,3,British Transport Police,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 5 
2017/18,3,British Transport Police,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A,-00 
2017/18,3,British Transport Police,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 72 
2017/18,3,British Transport Police,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,3,British Transport Police,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 3 
2017/18,3,British Transport Police,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 1887 
2017/18,3,British Transport Police,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 17 
2017/18,3,British Transport Police,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 96 
2017/18,3,British Transport Police,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 8 
2017/18,3,British Transport Police,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M,-00 
2017/18,3,British Transport Police,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 533 
2017/18,3,British Transport Police,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 5 
2017/18,3,British Transport Police,Rape of a female child under 13,Sexual offences,Rape offences,19E,-00 
2017/18,3,British Transport Police,Rape of a female child under 16,Sexual offences,Rape offences,19D, 3 
2017/18,3,British Transport Police,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F,-00 
2017/18,3,British Transport Police,Rape of a male child under 13,Sexual offences,Rape offences,19H,-00 
2017/18,3,British Transport Police,Rape of a male child under 16,Sexual offences,Rape offences,19G,-00 
2017/18,3,British Transport Police,Robbery of business property,Robbery,Robbery of business property,34A, 9 
2017/18,3,British Transport Police,Robbery of personal property,Robbery,Robbery of personal property,34B, 136 
2017/18,3,British Transport Police,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70, 1 
2017/18,3,British Transport Police,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21,-00 
2017/18,3,British Transport Police,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 1 
2017/18,3,British Transport Police,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 425 
2017/18,3,British Transport Police,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 5 
2017/18,3,British Transport Police,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 23 
2017/18,3,British Transport Police,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 5 
2017/18,3,British Transport Police,Sexual grooming,Sexual offences,Other sexual offences,88A, 7 
2017/18,3,British Transport Police,Shoplifting,Theft offences,Shoplifting,46, 535 
2017/18,3,British Transport Police,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27,-00 
2017/18,3,British Transport Police,Stalking,Violence against the person,Stalking and harassment,8Q, 12 
2017/18,3,British Transport Police,Theft by an employee,Theft offences,Other theft offences,41, 14 
2017/18,3,British Transport Police,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 37 
2017/18,3,British Transport Police,Theft from the person,Theft offences,Theft from the person,39, 1595 
2017/18,3,British Transport Police,Theft from vehicle,Theft offences,Theft from a vehicle,45, 150 
2017/18,3,British Transport Police,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40,-00 
2017/18,3,British Transport Police,Theft of mail,Theft offences,Other theft offences,42,-00 
2017/18,3,British Transport Police,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 1548 
2017/18,3,British Transport Police,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 135 
2017/18,3,British Transport Police,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 3 
2017/18,3,British Transport Police,Threats to kill,Violence against the person,Violence without injury,3B, 16 
2017/18,3,British Transport Police,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,3,British Transport Police,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 17 
2017/18,3,British Transport Police,Unnatural sexual offences,Sexual offences,Other sexual offences,88D,-00 
2017/18,3,British Transport Police,Violent disorder,Public order offences,Public order offences,62A, 146 
2017/18,3,British Transport Police,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,3,Cambridgeshire,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 3 
2017/18,3,Cambridgeshire,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 4 
2017/18,3,Cambridgeshire,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 3 
2017/18,3,Cambridgeshire,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A, 6 
2017/18,3,Cambridgeshire,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,3,Cambridgeshire,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,3,Cambridgeshire,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 10 
2017/18,3,Cambridgeshire,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 16 
2017/18,3,Cambridgeshire,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,3,Cambridgeshire,Arson endangering life,Criminal damage and arson,Arson,56A, 18 
2017/18,3,Cambridgeshire,Arson not endangering life,Criminal damage and arson,Arson,56B, 67 
2017/18,3,Cambridgeshire,Assault with injury,Violence against the person,Violence with injury,8N, 1109 
2017/18,3,Cambridgeshire,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 20 
2017/18,3,Cambridgeshire,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 99 
2017/18,3,Cambridgeshire,Assault without injury,Violence against the person,Violence without injury,105A, 2018 
2017/18,3,Cambridgeshire,Assault without injury on a constable,Violence against the person,Violence without injury,104, 103 
2017/18,3,Cambridgeshire,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 43 
2017/18,3,Cambridgeshire,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,3,Cambridgeshire,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,3,Cambridgeshire,Attempted Burglary Residential,Theft offences,Domestic burglary,28F,-00 
2017/18,3,Cambridgeshire,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,3,Cambridgeshire,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,3,Cambridgeshire,Attempted murder,Violence against the person,Violence with injury,2, 5 
2017/18,3,Cambridgeshire,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,3,Cambridgeshire,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,3,Cambridgeshire,Blackmail,Theft offences,Other theft offences,35, 39 
2017/18,3,Cambridgeshire,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 450 
2017/18,3,Cambridgeshire,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,3,Cambridgeshire,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,3,Cambridgeshire,Burglary Residential,Theft offences,Domestic burglary,28E, 1262 
2017/18,3,Cambridgeshire,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,3,Cambridgeshire,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,3,Cambridgeshire,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8, 1 
2017/18,3,Cambridgeshire,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,3,Cambridgeshire,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4, 4 
2017/18,3,Cambridgeshire,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,3,Cambridgeshire,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 4 
2017/18,3,Cambridgeshire,Child abduction,Violence against the person,Violence without injury,13, 12 
2017/18,3,Cambridgeshire,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15, 1 
2017/18,3,Cambridgeshire,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,3,Cambridgeshire,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 142 
2017/18,3,Cambridgeshire,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 511 
2017/18,3,Cambridgeshire,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 820 
2017/18,3,Cambridgeshire,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 20 
2017/18,3,Cambridgeshire,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 12 
2017/18,3,Cambridgeshire,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,-00 
2017/18,3,Cambridgeshire,Dishonest use of electricity,Theft offences,Other theft offences,43, 2 
2017/18,3,Cambridgeshire,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,3,Cambridgeshire,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 20 
2017/18,3,Cambridgeshire,Endangering life,Violence against the person,Violence with injury,5E, 1 
2017/18,3,Cambridgeshire,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 2 
2017/18,3,Cambridgeshire,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 24 
2017/18,3,Cambridgeshire,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 2 
2017/18,3,Cambridgeshire,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,-00 
2017/18,3,Cambridgeshire,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 15 
2017/18,3,Cambridgeshire,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 8 
2017/18,3,Cambridgeshire,Harassment,Violence against the person,Stalking and harassment,8L, 289 
2017/18,3,Cambridgeshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,Cambridgeshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,3,Cambridgeshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,3,Cambridgeshire,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 2 
2017/18,3,Cambridgeshire,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 9 
2017/18,3,Cambridgeshire,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,3,Cambridgeshire,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 178 
2017/18,3,Cambridgeshire,Kidnapping,Violence against the person,Violence without injury,36, 22 
2017/18,3,Cambridgeshire,Making off without payment,Theft offences,Other theft offences,49A, 578 
2017/18,3,Cambridgeshire,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 4 
2017/18,3,Cambridgeshire,Malicious Communications,Violence against the person,Stalking and harassment,8R, 244 
2017/18,3,Cambridgeshire,Modern slavery,Violence against the person,Violence without injury,106, 6 
2017/18,3,Cambridgeshire,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 36 
2017/18,3,Cambridgeshire,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 25 
2017/18,3,Cambridgeshire,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 582 
2017/18,3,Cambridgeshire,Other drug offences,Drug offences,Possession of drugs,92C, 1 
2017/18,3,Cambridgeshire,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81,-00 
2017/18,3,Cambridgeshire,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 9 
2017/18,3,Cambridgeshire,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,3,Cambridgeshire,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,-00 
2017/18,3,Cambridgeshire,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 7 
2017/18,3,Cambridgeshire,Other offences against the State or public order,Public order offences,Public order offences,66, 154 
2017/18,3,Cambridgeshire,Other theft,Theft offences,Other theft offences,49, 1209 
2017/18,3,Cambridgeshire,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,3,Cambridgeshire,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 27 
2017/18,3,Cambridgeshire,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 61 
2017/18,3,Cambridgeshire,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 176 
2017/18,3,Cambridgeshire,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 67 
2017/18,3,Cambridgeshire,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 3 
2017/18,3,Cambridgeshire,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 13 
2017/18,3,Cambridgeshire,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 7 
2017/18,3,Cambridgeshire,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 32 
2017/18,3,Cambridgeshire,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,3,Cambridgeshire,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 3 
2017/18,3,Cambridgeshire,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 636 
2017/18,3,Cambridgeshire,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 18 
2017/18,3,Cambridgeshire,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 27 
2017/18,3,Cambridgeshire,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 7 
2017/18,3,Cambridgeshire,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 4 
2017/18,3,Cambridgeshire,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 132 
2017/18,3,Cambridgeshire,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 117 
2017/18,3,Cambridgeshire,Rape of a female child under 13,Sexual offences,Rape offences,19E, 13 
2017/18,3,Cambridgeshire,Rape of a female child under 16,Sexual offences,Rape offences,19D, 16 
2017/18,3,Cambridgeshire,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F, 7 
2017/18,3,Cambridgeshire,Rape of a male child under 13,Sexual offences,Rape offences,19H, 2 
2017/18,3,Cambridgeshire,Rape of a male child under 16,Sexual offences,Rape offences,19G, 1 
2017/18,3,Cambridgeshire,Robbery of business property,Robbery,Robbery of business property,34A, 13 
2017/18,3,Cambridgeshire,Robbery of personal property,Robbery,Robbery of personal property,34B, 188 
2017/18,3,Cambridgeshire,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,3,Cambridgeshire,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 30 
2017/18,3,Cambridgeshire,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 24 
2017/18,3,Cambridgeshire,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 107 
2017/18,3,Cambridgeshire,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 15 
2017/18,3,Cambridgeshire,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 12 
2017/18,3,Cambridgeshire,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 2 
2017/18,3,Cambridgeshire,Sexual grooming,Sexual offences,Other sexual offences,88A, 21 
2017/18,3,Cambridgeshire,Shoplifting,Theft offences,Shoplifting,46, 1341 
2017/18,3,Cambridgeshire,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27,-00 
2017/18,3,Cambridgeshire,Stalking,Violence against the person,Stalking and harassment,8Q, 24 
2017/18,3,Cambridgeshire,Theft by an employee,Theft offences,Other theft offences,41, 68 
2017/18,3,Cambridgeshire,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 24 
2017/18,3,Cambridgeshire,Theft from the person,Theft offences,Theft from the person,39, 261 
2017/18,3,Cambridgeshire,Theft from vehicle,Theft offences,Theft from a vehicle,45, 1404 
2017/18,3,Cambridgeshire,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 183 
2017/18,3,Cambridgeshire,Theft of mail,Theft offences,Other theft offences,42, 1 
2017/18,3,Cambridgeshire,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 1110 
2017/18,3,Cambridgeshire,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 251 
2017/18,3,Cambridgeshire,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 72 
2017/18,3,Cambridgeshire,Threats to kill,Violence against the person,Violence without injury,3B, 143 
2017/18,3,Cambridgeshire,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,3,Cambridgeshire,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 114 
2017/18,3,Cambridgeshire,Unnatural sexual offences,Sexual offences,Other sexual offences,88D,-00 
2017/18,3,Cambridgeshire,Violent disorder,Public order offences,Public order offences,62A, 4 
2017/18,3,Cambridgeshire,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,3,Cheshire,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 4 
2017/18,3,Cheshire,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 3 
2017/18,3,Cheshire,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 2 
2017/18,3,Cheshire,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,-00 
2017/18,3,Cheshire,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,3,Cheshire,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,3,Cheshire,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 9 
2017/18,3,Cheshire,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 17 
2017/18,3,Cheshire,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,3,Cheshire,Arson endangering life,Criminal damage and arson,Arson,56A, 21 
2017/18,3,Cheshire,Arson not endangering life,Criminal damage and arson,Arson,56B, 105 
2017/18,3,Cheshire,Assault with injury,Violence against the person,Violence with injury,8N, 2399 
2017/18,3,Cheshire,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 54 
2017/18,3,Cheshire,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 99 
2017/18,3,Cheshire,Assault without injury,Violence against the person,Violence without injury,105A, 2500 
2017/18,3,Cheshire,Assault without injury on a constable,Violence against the person,Violence without injury,104, 73 
2017/18,3,Cheshire,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 54 
2017/18,3,Cheshire,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,3,Cheshire,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,3,Cheshire,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 147 
2017/18,3,Cheshire,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,3,Cheshire,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,3,Cheshire,Attempted murder,Violence against the person,Violence with injury,2, 2 
2017/18,3,Cheshire,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,3,Cheshire,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,3,Cheshire,Blackmail,Theft offences,Other theft offences,35, 35 
2017/18,3,Cheshire,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 336 
2017/18,3,Cheshire,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,3,Cheshire,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,3,Cheshire,Burglary Residential,Theft offences,Domestic burglary,28E, 793 
2017/18,3,Cheshire,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,3,Cheshire,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
